Data of Transaction,Description,Amt,Main_Category,Sub_Category
2026-01-03,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA,0.52,Smart saver,Smart saver
2026-01-03,ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA /KRAKOW,9.5,Eating out,KAWA
2026-01-04,ZAKUP PRZY UŻYCIU KARTY SHELL 11 /Wroclaw,118.4,Transport,Fuel
2026-01-04,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY SHELL 11,1.18,Smart saver,Smart saver
2026-01-05,PRZELEW ZEWNĘTRZNY WYCHODZĄCY BANK MILLENNIUM S.A. SPLATA RATY KREDYTU,110.65,Fixed Costs,Debt pay
2026-01-05,PRZELEW NA TWOJE CELE SPLATA RATY KREDYTU,1.11,Smart saver,Smart saver
2026-01-05,ZAKUP PRZY UŻYCIU KARTY MCDONALDS 262 KRAKO/KRAKOW,38.2,Eating out,MCDONALDS
2026-01-06,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA /NIEPOLOMIC,145.6,Daily Purchase,Biednronka
2026-01-07,ZAKUP PRZY UŻYCIU KARTY ORLEN STACJA NR 532,130.1,Transport,Fuel
2026-01-07,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ORLEN,1.3,Smart saver,Smart saver
2026-01-08,PRZELEW MTRANSFER WYCHODZACY ORANGE4 ID=,30.0,Fixed Costs,Telephone
2026-01-08,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU ORANGE4,0.3,Smart saver,Smart saver
2026-01-09,ZAKUP PRZY UŻYCIU KARTY KFC KRAKOW MODLN,22.5,Eating out,KFC
2026-01-09,ZAKUP PRZY UŻYCIU KARTY ZABKA ZB212 K.2,8.9,Daily Purchase,Zabka
2026-01-10,ZAKUP PRZY UŻYCIU KARTY LIDL GRABISZYNSKA,89.45,Daily Purchase,Lidl
2026-01-11,ZAKUP PRZY UŻYCIU KARTY NETFLIX.COM,43.0,Subcription,NETFLIX
2026-01-11,ZAKUP PRZY UŻYCIU KARTY SPOTIFY,19.99,Subcription,SPOTIFY
2026-01-12,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA HERT,12.4,Daily Purchase,Piekarnia
2026-01-12,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,34.2,Daily Purchase,Biednronka
2026-01-13,ZAKUP PRZY UŻYCIU KARTY ALI BABA KEBAB,16.5,Eating out,KEBAB
2026-01-13,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY KEBAB,0.16,Smart saver,Smart saver
2026-01-14,BLIK ZAKUP E-COMMERCE ALLEGRO,120.99,Daily Purchase,Allegro
2026-01-14,ZAKUP PRZY UŻYCIU KARTY STOLOWKA STUDENCKA,21.5,Eating out,Restauramt
2026-01-15,ZAKUP PRZY UŻYCIU KARTY PKP INTERCITY,45.0,Transport,Trains and Buses
2026-01-15,ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA,4.5,Eating out,KAWA
2026-01-16,ZAKUP PRZY UŻYCIU KARTY CARREFOUR,215.3,Daily Purchase,CARREFOUR
2026-01-16,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY CARREFOUR,2.15,Smart saver,Smart saver
2026-01-17,ZAKUP PRZY UŻYCIU KARTY ZABKA,15.9,Daily Purchase,Zabka
2026-01-17,ZAKUP PRZY UŻYCIU KARTY ASVENDING,4.0,Eating out,AUTOMAT
2026-01-18,ZAKUP PRZY UŻYCIU KARTY SHELL /Niemodlin,85.2,Transport,Fuel
2026-01-18,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,25.4,Eating out,MCDONALDS
2026-01-19,ZAKUP PRZY UŻYCIU KARTY PEPCO,35.5,Cloaths,Casual
2026-01-19,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,45.9,Daily Purchase,Rossmann
2026-01-20,ZAKUP PRZY UŻYCIU KARTY LIDL,112.3,Daily Purchase,Lidl
2026-01-20,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY LIDL,1.12,Smart saver,Smart saver
2026-01-21,ZAKUP PRZY UŻYCIU KARTY UBER TRIP,24.5,Transport,Taxi
2026-01-21,ZAKUP PRZY UŻYCIU KARTY BOLT,18.2,Transport,Taxi
2026-01-22,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,67.8,Daily Purchase,Biednronka
2026-01-22,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA HERT,8.5,Daily Purchase,Piekarnia
2026-01-23,ZAKUP PRZY UŻYCIU KARTY ORLEN,210.0,Transport,Fuel
2026-01-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ORLEN,2.1,Smart saver,Smart saver
2026-01-24,ZAKUP PRZY UŻYCIU KARTY MEDIA MARKT,159.0,Technology,MEDIA MARKT
2026-01-24,ZAKUP PRZY UŻYCIU KARTY KINO HELIOS,42.0,Entertaiment,Cinema
2026-01-25,ZAKUP PRZY UŻYCIU KARTY ZABKA,23.4,Daily Purchase,Zabka
2026-01-25,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,19.9,Eating out,MCDONALDS
2026-01-26,ZAKUP PRZY UŻYCIU KARTY SINSAY,55.99,Cloaths,Casual
2026-01-26,ZAKUP PRZY UŻYCIU KARTY DECATHLON,89.99,Cloaths,Outdor
2026-01-27,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,45.6,Daily Purchase,Biednronka
2026-01-27,ZAKUP PRZY UŻYCIU KARTY APTEKA DOZ,32.5,Daily Purchase,Pharmacy
2026-01-28,ZAKUP PRZY UŻYCIU KARTY RESTAURANT SPHINX,120.0,Eating out,Restauramt
2026-01-28,PRZELEW NA TWOJE CELE RESTAURACJA,1.2,Smart saver,Smart saver
2026-01-29,ZAKUP PRZY UŻYCIU KARTY LIDL,76.4,Daily Purchase,Lidl
2026-01-29,ZAKUP PRZY UŻYCIU KARTY ZABKA,12.3,Daily Purchase,Zabka
2026-01-30,ZAKUP PRZY UŻYCIU KARTY BP STACJA,150.5,Transport,Fuel
2026-01-31,ZAKUP PRZY UŻYCIU KARTY UBER EATS,45.9,Eating out,Delivery
2026-01-31,ZAKUP PRZY UŻYCIU KARTY NETFLIX,43.0,Subcription,NETFLIX
2026-01-31,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY NETFLIX,0.43,Smart saver,Smart saver
2026-01-15,ZAKUP PRZY UŻYCIU KARTY ZABKA,18.9,Daily Purchase,Zabka
2026-01-16,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,55.1,Daily Purchase,Biednronka
2026-01-18,ZAKUP PRZY UŻYCIU KARTY SHELL,95.4,Transport,Fuel
2026-01-20,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,28.9,Eating out,MCDONALDS
2026-01-22,ZAKUP PRZY UŻYCIU KARTY EMPIK,49.99,Daily Purchase,Empik
2026-01-24,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,32.99,Daily Purchase,Rossmann
2026-01-26,ZAKUP PRZY UŻYCIU KARTY ZABKA,9.5,Daily Purchase,Zabka
2026-01-28,ZAKUP PRZY UŻYCIU KARTY LIDL,88.2,Daily Purchase,Lidl
2026-01-29,ZAKUP PRZY UŻYCIU KARTY UBER,19.5,Transport,Taxi
2026-01-05,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA,14.2,Daily Purchase,Piekarnia
2026-01-08,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,102.5,Daily Purchase,Biednronka
2026-01-11,ZAKUP PRZY UŻYCIU KARTY ORLEN,145.9,Transport,Fuel
2026-01-14,ZAKUP PRZY UŻYCIU KARTY KEBAB,18.5,Eating out,KEBAB
2026-01-19,ZAKUP PRZY UŻYCIU KARTY H&M,79.9,Cloaths,Casual
2026-01-21,ZAKUP PRZY UŻYCIU KARTY ZABKA,21.3,Daily Purchase,Zabka
2026-01-25,ZAKUP PRZY UŻYCIU KARTY KFC,34.5,Eating out,KFC
2026-01-28,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,65.4,Daily Purchase,Biednronka
2026-01-03,ZAKUP PRZY UŻYCIU KARTY SHELL,88.9,Transport,Fuel
2026-01-07,ZAKUP PRZY UŻYCIU KARTY APTEKA,24.9,Daily Purchase,Pharmacy
2026-01-10,ZAKUP PRZY UŻYCIU KARTY ZABKA,11.2,Daily Purchase,Zabka
2026-01-13,ZAKUP PRZY UŻYCIU KARTY LIDL,92.1,Daily Purchase,Lidl
2026-01-17,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,22.8,Eating out,MCDONALDS
2026-01-22,ZAKUP PRZY UŻYCIU KARTY ORLEN,115.6,Transport,Fuel
2026-01-26,ZAKUP PRZY UŻYCIU KARTY PEPCO,41.5,Cloaths,Casual
2026-01-30,ZAKUP PRZY UŻYCIU KARTY ZABKA,13.4,Daily Purchase,Zabka
2026-01-04,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,73.2,Daily Purchase,Biednronka
2026-01-09,ZAKUP PRZY UŻYCIU KARTY COSTA COFFEE,16.9,Eating out,KAWA
2026-01-15,ZAKUP PRZY UŻYCIU KARTY LIDL,58.7,Daily Purchase,Lidl
2026-01-19,ZAKUP PRZY UŻYCIU KARTY SHELL,135.2,Transport,Fuel
2026-01-23,ZAKUP PRZY UŻYCIU KARTY PIZZA HUT,85.0,Eating out,Pizza
2026-01-27,ZAKUP PRZY UŻYCIU KARTY ZABKA,17.6,Daily Purchase,Zabka
2026-01-31,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,49.9,Daily Purchase,Biednronka
